index,name
529,cauliflower floret
530,skinless chicken breasts
531,lemon wedges
532,bay leaves
533,beef stew meat
534,yellow onion
535,dried rosemary
536,guinness stout
537,cake mix
538,shortcrust pastry
539,dark muscovado sugar
540,ground round
541,chicken leg meat
542,japanese sake
543,other seasoning
544,vegetable shortening
545,taco seasoning mix
546,bacon
547,drippings
548,pork and beans in tomato sauce
549,catsup
550,white potatoes
551,spanish onion
552,hellmanns mayonnaise
553,dijonnaise mustard
554,horseradish
555,orange zest of
556,orzo pasta
557,virgin olive oil
558,green olives
559,plain low-fat yogurt
560,cream cheese
561,fresh jalapeno
562,chocolate chips
563,crispix cereal
564,breadcrumbs
565,lean beef
566,thyme
567,raisins
568,shortening
569,bread flour
570,dried sage
571,active dry yeast
572,vanilla chip
573,macadamia nuts
574,skinless chicken thighs
575,frozen apple cherry juice concentrate
576,red pepper flakes
577,dried cherries
578,kernel corn
579,egg white
580,unsweetened chocolate
581,refrigerated crescent dinner rolls
582,any desired flavoring
583,any desired food coloring
584,dry basil
585,flank steak
586,frozen broccoli
587,peanut oil
588,lime juice
589,green bell pepper
590,yellow bell pepper
591,apple juice
592,pearl barley
593,marinara sauce
594,green peppers
595,long grain rice
596,apples
597,sausage
598,boneless skinless chicken breast half
599,picante sauce
600,flour tortillas
601,haddock fillets
602,seasoned dry bread crumb
603,dried parsley flakes
604,pineapple chunks in juice
605,dijon mustard
606,chicken breast halves
607,crushed pineapple
608,sliced almonds
609,rice
610,carbonated lemon-lime beverage
611,biscuit mix
612,cinnamon stick
613,cheese
614,linguine
615,chicken parts
616,long-grain white rice
617,teriyaki sauce
618,pineapple juice
619,italian salad dressing
620,boneless chicken breast
621,cooked rice
622,cashew pieces
623,vegetables
624,brown sugar
625,brandy
626,frozen pizza crust
627,romano cheese
628,plum tomatoes
629,light corn syrup
630,pumpkin
631,garlic salt
632,onion powder
633,celery salt
634,rolled oats
635,head of cabbage
636,ramen noodles
637,velveeta cheese
638,double-acting baking powder
639,hot dog
640,seedless raisins
641,pastry for double-crust pie
642,pastry dough
643,ground nutmeg
644,rhubarb
645,ketchup
646,liquid smoke flavoring
647,chicken wings
648,msg
649,round steaks
650,egg noodles
651,chicken stock cubes
652,semi-sweet chocolate chips
653,coke
654,hash browns
655,sweet potatoes
656,frozen orange juice concentrate
657,marshmallows
658,cocoa
659,yellow cake mix
660,solid pack pumpkin
661,pumpkin pie spice
662,unsalted butter
663,pumpkin puree
664,dutch-processed cocoa powder
665,unsweetened applesauce
666,semisweet mini chocolate chips
667,solid-pack pumpkin
668,ginger ale
669,pineapple
670,frozen lemonade concentrate
671,skinless chicken breasts
672,chicken bouillon granules
673,lard
674,cold water
675,elbow macaroni
676,reduced-fat monterey jack cheese
677,nonfat cottage cheese
678,nonfat sour cream
679,light margarine
680,cheese-flavored granule
681,reduced-fat butter-flavored cracker crumbs
682,low-fat mayonnaise
683,plain nonfat yogurt
684,herb seasoning mix
685,red cabbage
686,maraschino cherries
687,mandarin oranges
688,pineapple chunks
689,mini marshmallows
690,veal shanks
691,sage
692,anchovy
693,rice
694,liquid smoke
695,9 inch pie shell
696,dark karo syrup
697,armagnac
698,unbaked 9-inch pie shell
699,lean ground beef
700,fine dry breadcrumbs
701,fajita seasoning mix
702,diced tomatoes with green chilies
703,ground coriander
704,adobo sauce
705,frozen corn kernels
706,soured milk
707,flaked coconut
708,salted peanuts
709,corn flakes
710,rotel tomatoes
711,diced tomatoes
712,jalapeno
713,seasoning salt
714,cashews
715,spinach
716,lettuce
717,red onions
718,poppy seed
719,fruit juice
720,hickory chips
721,beer
722,your favorite barbecue rub
723,whole chickens
724,herbs
725,red apples
726,jalapeno pepper
727,cranberry juice cocktail
728,liquid fruit pectin
729,pecans
730,kumara
731,red lentil
732,yoghurt
733,lemon jell-o gelatin
734,lemons juice and zest of
735,pork tenderloin
736,black peppercorns
737,fresh rosemary
738,m&m
739,avocado
740,salsa
741,sweet onion
742,cilantro
743,black olives
744,fresh breadcrumbs
745,white fish fillets
746,hamburger
747,cabbage
748,tomato juice
749,onion soup mix
750,vanilla flavor instant pudding and pie filling mix
751,pineapple in juice
752,melon
753,kiwi
754,peach
755,papayas
756,red food coloring
757,veal cutlet
758,ground chuck
759,mild cheddar cheese
760,enchilada sauce
761,bean curd
762,ground beef
763,chili peppers
764,leek
765,white onions
766,fresh flat-leaf parsley
767,whole black peppercorn
768,live lobsters
769,potatoes
770,white wine vinegar
771,creme fraiche
772,cornichons
773,marshmallow creme
774,sour milk
775,chocolate chips
776,blade pot roast
777,whole bay leaf
778,fresh mushrooms
779,wide egg noodles
780,post grape-nuts cereal
781,quick-cooking oats
782,dried cranberries
783,light cream cheese
784,artichoke
785,frozen spinach
786,icing sugar
787,orange extract
788,yellow sweet onions
789,fresh pepper
790,chicken bouillon cubes
791,velveeta cheese
792,white sauce
793,apricot jam
794,almonds
795,almond extract
796,honey
797,prepared pizza sauce
798,fennel seeds
799,portabella mushroom cap
800,yellow pepper
801,orange pepper
802,fresh onion ring
803,provolone cheese
804,potato
805,green bell peppers
806,dried chives
807,unbaked pie shell
808,dried parsley flakes
809,saltine
810,dried onion
811,onion salt
812,sweet pickle relish
813,cucumber
814,crackers
815,whipped cream
816,medium shrimp
817,pasta
818,boneless chicken
819,thick soy sauce
820,fish sauce
821,boneless chicken breasts
822,lemongrass
823,curry paste
824,red chile
825,peanuts
826,cilantro leaf
827,wagon wheel macaroni
828,tri-colored corkscrew macaroni
829,dried red pepper
830,yellow squash
831,smoked cheddar cheese
832,unblanched whole almonds
833,fresh tarragon
834,unsweetened cocoa
835,lemon flavoring
836,carbonated lemon-lime beverage
837,tart baking apples
838,active dry yeast
839,soy sauce
840,boneless pork
841,taco seasoning
842,chunky salsa
843,peach preserves
844,frozen pink lemonade concentrate
845,sherbet
846,frozen fruit
847,stock
848,marlin steaks
849,capers
850,lemon slices
851,yellow onions
852,cantonese roast pork
853,fresh coriander leaves
854,dark soy sauce
855,pink salmon
856,soft breadcrumbs
857,light corn syrup
858,cheerios toasted oat cereal
859,semi-sweet chocolate chips
860,key lime juice
861,english peas
862,pimiento
863,cream of chicken soup
864,whole chicken breasts
865,salad oil
866,pea pods
867,chicken flavor instant bouillon
868,smoked sausage
869,green peppers
870,leaf thyme
871,leaf oregano
872,chicken bouillon cube
873,t-bone type lamb chops
874,cavenders all purpose greek seasoning
875,dried parsley
876,italian cut green beans
877,pasta shells
878,tuna in water
879,low-fat mayonnaise
880,pimento stuffed olive
881,raspberry gelatin powder
882,unflavored gelatin
883,flexible plastic straws
884,tall slender 4 cup container
885,green food coloring
886,boneless chicken breasts
887,unsweetened apple juice
888,ground ginger
889,ground turmeric
890,salt & fresh ground pepper
891,chili paste
892,chicken feet
893,rice wine
894,star anise
895,ham
896,unbaked pastry shell
897,boneless skinless chicken breasts
898,hot chili pepper
899,homemade vegetable stock
900,tomato puree
901,sweet potato
902,butternut squash
903,chickpeas
904,plantains
905,fresh tomatoes
906,monterey jack pepper cheese
907,egg roll wraps
908,beef schnitzel
909,fresh black pepper
910,spice plum sauce
911,balsamic vinegar
912,lite olive oil
913,celery leaves
914,fresh peas
915,cut green beans
916,fine egg noodles
917,turkey carcass
918,cream of chicken soup
919,whole mushrooms
920,chow mein noodles
921,duncan hines chewy fudge brownie mix
922,eagle brand condensed milk
923,miniature almond joy bars
924,toasted almond
925,angel hair pasta
926,italian seasoned breadcrumbs
927,spaghetti sauce
928,kraft 100% parmesan cheese
929,wild rice mix
930,prepared brown mustard
931,salmon fillets
932,peppercorns
933,quicker quaker oats
934,baguette
935,roma tomatoes
936,fresh parmesan cheese
937,sweetened flaked coconut
938,cranberries
939,fresh cranberries
940,fresh lemon rind
941,seedless raisin
942,ground cloves
943,canned pumpkin
944,frozen bread dough
945,kalamata olives
946,sun-dried tomatoes packed in oil
947,table salt
948,extra virgin olive oil
949,fresh herbs
950,fresh ground black pepper
951,6 cheese zesty mexican cheese blend
952,thick & chunky salsa
953,avocados
954,dry yeast
955,pepperoni
956,boneless steak
957,birds eye frozen japanese-style vegetables
958,ramen noodles
959,tart apples
960,pork sausage
961,dry cracker crumb
962,any bottled italian dressing
963,anchovy paste
964,all-purpose white flour
965,apple butter
966,pure maple syrup
967,apple cider
968,nonfat plain yogurt
969,pure vanilla extract
970,elk steaks
971,grainy mustard
972,non-iodized salt
973,jalapeno peppers
974,green tomato
975,gingersnap crumbs
976,light brown sugar
977,red miso
978,mirin
979,toasted sesame seeds
980,head iceberg lettuce
981,grey poupon honey mustard
982,apricot preserves
983,boneless skinless chicken breast
984,boneless skinless chicken thighs
985,frozen small whole onions
986,dried rubbed sage
987,frozen green peas
988,extra firm tofu
989,boneless skinless chicken breast halves
990,condensed cream of chicken soup
991,stove top stuffing mix
992,chicken breasts
993,fresh broccoli
994,turkey
995,pimento stuffed olives
996,fat free sour cream
997,pita bread rounds
998,boneless beef round steak
999,lemon
1000,oreo cookies
1001,flower pot
1002,artificial flower
1003,white sugar
1004,corn syrup
1005,lean stew meat
1006,sweet peas
1007,french onion soup
1008,dry tapioca
1009,seedless european cucumber
1010,blackberries
1011,texas toast thick bread
1012,instant coffee creamer
1013,instant chocolate drink mix
1014,instant coffee crystals
1015,banana
1016,coarse salt
1017,swiss chard leaves
1018,white rice
1019,white raisins
1020,lamb shoulder
1021,dried dill
1022,cucumbers
1023,white distilled vinegar
1024,mustard seeds
1025,portabella mushrooms
1026,currants
1027,self rising flour
1028,caster sugar
1029,rich chicken broth
1030,red bell peppers
1031,kraft caramels
1032,dry-roasted unsalted peanuts
1033,milk chocolate chips
1034,chicken pieces
1035,frozen whole kernel corn
1036,cream-style corn
1037,vegetable broth
1038,obrien frozen potatoes
1039,vegetable stock base
1040,35% cream
1041,red kidney beans
1042,fresh orange-fleshed yams
1043,graham cracker crumbs
1044,fryer
1045,canned mushroom
1046,land o lakes butter
1047,all-purpose white flour
1048,dill
1049,cottage cheese
1050,deep dish pie shell
1051,lasagna noodles
1052,fresh lemongrass
1053,devils food cake mix
1054,instant butterscotch pudding mix
1055,cardamom
1056,white chocolate chips
1057,sweetened condensed milk
1058,ground cinnamon
1059,unsifted flour
1060,instant vanilla pudding
1061,pie crust
1062,unbaked pastry shells
1063,half-and-half cream
1064,fresh spinach
1065,dried craisin
1066,long grain rice
1067,yellow apples
1068,red apples
1069,snickers candy bars
1070,caramels
1071,quick-cooking rolled oats
1072,sharp longhorn cheese
1073,dark chocolate cake mix
1074,mrs richardsons caramel topping
1075,heath candy bars
1076,pudding
1077,amaretto di saronno liqueur
1078,maraschino cherries
1079,frozen broccoli
1080,seasoned bread crumbs
1081,prosciutto
1082,mixed cheese
1083,fine dry breadcrumb
1084,strong coffee
1085,cooking sherry
1086,louisiana hot sauce
1087,bleu cheese salad dressing
1088,pie shells
1089,rome apples
1090,caramel ice cream topping
1091,pecan pieces
1092,anchovies
1093,accent seasoning
1094,red potatoes
1095,idaho potatoes
1096,creamy pureed horseradish
1097,dry northern white beans
1098,cloves
1099,head white cabbage
1100,celery & leaves
1101,chicken stock powder
1102,ground black pepper
1103,rabbit
1104,prunes
1105,wishbone fat-free italian dressing
1106,mccormick salad supreme seasoning
1107,white bread
1108,leeks
1109,eggplants
1110,ziti pasta
1111,hot red pepper flakes
1112,sauerkraut
1113,pumpkin
1114,rolled oats
1115,crispy brown rice cereal
1116,dried unsulfured apricots
1117,nonfat protein powder
1118,toasted wheat germ
1119,brown rice syrup
1120,reduced-fat peanut butter
1121,whole allspice
1122,whole cloves
1123,cinnamon sticks
1124,orange wedge
1125,kelp
1126,lamb shanks
1127,fresh garlic cloves
1128,ham
1129,peach halves in syrup
1130,rump roast
1131,gingersnaps
1132,unbleached flour
1133,fresh cranberries
1134,powdered milk
1135,chicken bouillon
1136,onion flakes
1137,applesauce
1138,apricots
1139,cherries
1140,fresh coconut
1141,dates
1142,figs
1143,marmalade
1144,mincemeat
1145,peaches
1146,pears
1147,prune
1148,raspberries
1149,fresh strawberries
1150,yams
1151,yogurt
1152,wine
1153,liquid certo
1154,blade steaks
1155,green capsicum
1156,red bell pepper
1157,sun-dried tomatoes
1158,rib eye
1159,hoagie rolls
1160,sweetened condensed milk
1161,non-dairy whipped topping
1162,graham cracker crust
1163,angel food cake mix
1164,dried lemon peel
1165,instant chicken bouillon
1166,biscuit
1167,pan drippings
1168,self-rising flour
1169,peanut oil
1170,pumpkin seeds
1171,creamy peanut butter
1172,adzuki beans
1173,soya margarine
1174,sweet paprika
1175,dark vegetable stock powder
1176,plain breadcrumbs
1177,coconut
1178,mandarin orange segments
1179,miniature marshmallow
1180,graham cracker
1181,canned salmon
1182,salmon steaks
1183,teriyaki sauce
1184,dill weed
1185,dehydrated onion
1186,pumpkin puree
1187,bread
1188,unbaked pie shells
1189,reduced fat graham cracker crust
1190,cherry pie filling
1191,cheesecake flavor instant pudding and pie filling
1192,cool whip free
1193,evaporated skim milk
1194,pie shells
1195,white candy coating
1196,peppermint extract
1197,light cream cheese
1198,fresh blueberries
1199,maple syrup
1200,pork loin
1201,chipotle chiles
1202,cake flour
1203,wheat bran
1204,spices
1205,lasagna noodles
1206,ice cream buckets
1207,carrot
1208,potato
1209,chorizo sausage
1210,heavy whipping cream
1211,lemon extract
1212,mayonnaise
1213,lemon yogurt
1214,cherry preserves
1215,pork
1216,whole kernel corn
1217,jiffy cornbread mix
1218,sweet onions
1219,dried ancho peppers
1220,white bread flour
1221,gluten flour
1222,white beans
1223,salt
1224,boneless skinless chicken breast
1225,chocolate cookie pie crust
1226,light cream
1227,chocolate ice cream
1228,dried onion
1229,dried garlic
1230,beef bouillon granules
1231,dried vegetable flakes
1232,phyllo pastry sheet
1233,granulated sugar
1234,orange juice concentrate
1235,canned artichoke hearts
1236,cracker
1237,chips
1238,oyster
1239,lowfat swiss cheese
1240,low-fat sour cream
1241,french style green beans
1242,herb seasoned stuffing mix
1243,2% low-fat milk
1244,cranberries
1245,small potatoes
1246,sage leaf
1247,racks of lamb
1248,fresh sage leaf
1249,chili
1250,philadelphia cream cheese
1251,vegetable soup mix
1252,water chestnuts
1253,best foods mayonnaise
1254,hot pepper sauce
1255,artichoke hearts
1256,bacon bits
1257,prepared horseradish
1258,crunchy peanut butter
1259,raw cashews
1260,glace ginger
1261,duncan hines moist deluxe butter recipe fudge cake mix
1262,rum
1263,jiffy corn muffin mix
1264,corn
1265,creamed corn
1266,fresh orange juice
1267,tamari
1268,maraschino cherry
1269,pretzels
1270,strawberry jell-o gelatin dessert
1271,frozen sweetened strawberries
1272,unsifted flour
1273,yellow onion
1274,cornbread
1275,white bread
1276,icing
1277,colored sugar sprinkle
1278,sherry wine
1279,condensed chicken broth
1280,dried hot peppers
1281,pace picante sauce
1282,dijon-style mustard
1283,butterscotch chips
1284,graham cracker
1285,real butter
1286,nori
1287,sake
1288,corn oil
1289,rotel tomatoes & chilies
1290,chicken meat
1291,corn tortilla chips
1292,yellow corn grits
1293,flank steaks
1294,chipotle chiles in adobo
1295,salt and fresh pepper
1296,part-skim mozzarella cheese
1297,frozen corn
1298,sharp cheddar cheese
1299,cream of celery soup
1300,white shoepeg corn
1301,buttery crackers
1302,dried yellow peas
1303,salt pork
1304,dried savory
1305,georgia pecan halves
1306,frozen orange juice concentrate
1307,brown paper bags
1308,chicken drumsticks
1309,duck
1310,eggnog
1311,candied fruit
1312,instant lemon pudding mix
1313,fruit cocktail in heavy syrup
1314,water-packed artichoke hearts
1315,firm tofu
1316,vegan mayonnaise
1317,braggs liquid aminos
1318,egg
1319,crisco cooking oil
1320,frying chickens
1321,cherries
1322,leg of lamb
1323,millet
1324,roasted sunflower seeds
1325,chicken thighs
1326,chicken base
1327,unbleached white flour
1328,garlic clove
1329,roasting chickens
1330,chicken giblets
1331,plain yogurt
1332,goat cheese
1333,dry bread
1334,frozen corn
1335,mushroom stems and pieces
1336,jell-o chocolate pudding and pie filling
1337,frozen hash brown potatoes
1338,walnut halves
1339,port wine
1340,spiral shaped pasta
1341,chocolate cake mix
1342,premade puff pastry
1343,turkey stuffing
1344,turkey meat
1345,gravy
1346,cranberry sauce
1347,taco seasoning
1348,extra virgin olive oil
1349,brie cheese
1350,smoked salmon
1351,fresh dill sprig
1352,basic pizza dough
1353,tomato bisque
1354,frying chickens
1355,light cream
1356,irish whiskey
1357,hersheys chocolate syrup
1358,turkey tenderloins
1359,canned whole cranberry sauce
1360,mandarin orange pieces
1361,french style green beans
1362,french fried onions rings
1363,fresh crabmeat
1364,a.1. original sauce
1365,wonton wrappers
1366,chinese mustard
1367,chinese red sauce
1368,paprika
1369,vermicelli
1370,hot chicken stock
1371,hot water
1372,whole chicken
1373,clams
1374,lean bacon
1375,unsweetened baking chocolate
1376,white chocolate
1377,beef stew meat
1378,beets
1379,lime juice of
1380,vermouth
1381,sirloin beef
1382,white pearl onions
1383,whole tomatoes
1384,dry onion
1385,quick-cooking tapioca
1386,tomato soup
1387,olive
1388,london broil beef
1389,peas
1390,turnip
1391,canned pumpkin
1392,1% low-fat milk
1393,sugar substitute
1394,beef broth
1395,beef steaks
1396,triple sec
1397,tequila
1398,lime slice
1399,mint leaf
1400,all-bran cereal
1401,turkey breast
1402,dried marjoram
1403,dried tarragon
1404,italian pastina
1405,corned beef
1406,dark rye
1407,thousand island dressing
1408,fresh lump crabmeat
1409,chicken wings
1410,frenchs mustard
1411,dry yeast
1412,pig liver
1413,streaky bacon
1414,pig apron
1415,dry milk
1416,fast rise yeast
1417,long grain brown rice
1418,mushroom stems
1419,pirouette cookies
1420,ribbon
1421,parchment paper
1422,nonfat dry milk powder
1423,powdered nonfat dry creamer
1424,cherry gelatin
1425,ginger ale
1426,brownie mix
1427,unbleached all-purpose flour
1428,stone ground whole wheat flour
1429,elbow macaroni
1430,green cabbage
1431,prepared mayonnaise
1432,celery seeds
1433,fresh swiss chard
1434,poppy seeds
1435,mango
1436,commercial sour cream
1437,cooking oil
1438,red potatoes
1439,macaroni and cheese mix
1440,tuna fish
1441,yucca root
1442,yam
1443,broccoli
1444,lemon juice and zest of
1445,fresh green beans
1446,vodka
1447,lemon juice of
1448,lime wedges
1449,beef short ribs with bones
1450,condensed beef broth
1451,horseradish sauce
1452,yellow mustard
1453,lea & perrins worcestershire sauce
1454,bay leaves
1455,ground pork
1456,dried red beans
1457,bacon grease
1458,tasso
1459,smoked sausage
1460,smoked ham hock
1461,cooked white rice
1462,crab boil
1463,white onions
1464,crawfish
1465,hot water
1466,spaghetti
1467,dried sweet basil leaves
1468,garlic head
1469,sweet butter
1470,boneless beef sirloin
1471,whole cumin seeds
1472,dried chili pods
1473,cardamom seed
1474,black mustard seeds
1475,fenugreek seeds
1476,ginger cube
1477,coriander seed
1478,basmati rice
1479,garam masala
1480,lamb stew meat
1481,chickpeas
1482,tahini
1483,lemons juice of
1484,ground red chili pepper
1485,country-style spareribs
1486,cooked sweet potatoes
1487,bisquick
1488,sunflower oil
1489,mushroom soup
